time,ssrd,d2m,t2m
202001211600,405.3573333,6.205585,19.780845
202001211700,206.1474917,5.020475,18.568505
202001211800,44.694075,4.267725,17.673915
202001211900,0,3.752885,16.69827
202001212000,0,3.600675,15.556115
202001212100,0,3.30483,14.335105
202001212200,0,2.661525,13.22652
202001212300,0,2.546045,12.19058
202001220000,0,2.53115,11.267295
202001220100,0,2.35781,10.213765
202001220200,0,1.949065,9.30825
202001220300,0,1.51218,8.603175
202001220400,0,1.38685,8.00094
202001220500,0,1.38643,7.390775
202001220600,0,1.06667,7.074185
202001220700,11.9647875,0.97921,6.84585
202001220800,97.26911667,1.178365,7.09994
202001220900,297.8789778,1.71408,8.26607
202001221000,495.9277083,2.30422,10.01608
202001221100,642.6658333,2.96511,12.105735
202001221200,723.0798611,4.22616,14.10653
202001221300,740.1961111,5.67544,15.60635
202001221400,683.5340278,7.06741,16.729335
202001221500,549.081875,8.388085,17.448815
202001221600,391.9098472,8.993735,17.636805
202001221700,202.0782431,8.975735,17.50149
202001221800,43.11740833,9.342675,17.054285
202001221900,0,9.444605,16.490865
202001222000,0,9.712915,15.961635
202001222100,0,10.38955,15.563255
202001222200,0,10.829675,15.39053
202001222300,0,11.20181,15.63558
202001230000,0,11.58877,15.72982
202001230100,0,11.908225,15.88308
202001230200,0,12.26174,16.0071
202001230300,0,12.65896,16.22421
202001230400,0,12.92855,16.561975
202001230500,0,13.532495,17.01217
202001230600,0,13.74301,17.582605
202001230700,8.062274306,13.84903,18.12057
202001230800,66.3750125,14.02871,18.93203
202001230900,206.6037417,14.22042,20.298975
202001231000,346.9934028,14.763575,21.72049
202001231100,448.181875,15.28701,22.72488
202001231200,506.1374306,15.6686,23.24551
202001231300,510.6397917,15.987325,23.259485
202001231400,537.9926389,16.228115,23.15792
202001231500,437.4686806,16.378075,22.93221
202001231600,300.30925,16.50576,22.474085
202001231700,142.6769958,17.033045,21.873805
202001231800,31.74333333,17.00203,21.4216
202001231900,0,17.04073,20.9969
202001232000,0,17.1672,20.72896
202001232100,0,17.52437,20.61202
202001232200,0,17.65194,20.6412
202001232300,0,17.748375,20.68191
202001240000,0,17.71041,20.68887
202001240100,0,17.56741,20.416955
202001240200,0,17.26925,20.04702
202001240300,0,17.191125,19.987085
202001240400,0,17.32589,20.216335
202001240500,0,17.591635,20.836625
202001240600,0,17.549645,20.84097
202001240700,8.269739583,17.39346,20.980495
202001240800,65.09643194,17.498865,21.367765
202001240900,199.3799083,18.05508,22.15237
202001241000,334.5922917,17.97683,22.820215
202001241100,412.8636806,17.7698,23.099145
202001241200,459.8715278,17.97537,23.19509
202001241300,462.6328472,18.129545,23.41976
202001241400,513.5479167,18.063925,23.510275
202001241500,514.6354861,17.860435,23.39443
202001241600,328.9425833,17.539815,23.546835
202001241700,125.8406208,16.362885,23.492265
202001241800,36.08545556,16.719445,22.911465
202001241900,0,17.0726,22.25729
202001242000,0,17.097385,22.10128
202001242100,0,17.12197,22.20474
202001242200,0,17.36288,22.331385
202001242300,0,17.5607,22.0209
202001250000,0,17.62984,21.390225
202001250100,0,17.56759,20.928375
202001250200,0,17.64901,20.61984
202001250300,0,17.825585,20.483115
202001250400,0,17.89163,20.18538
202001250500,0,17.95919,20.039385
202001250600,0,17.980675,20.00515
202001250700,8.93171,17.927945,19.999905
202001250800,75.12552014,18.04226,20.43966
202001250900,207.5105833,17.98403,21.354945
202001251000,293.7871333,17.541955,21.954675
202001251100,440.0238889,17.167135,22.33645
202001251200,503.3402778,17.113795,22.786585
202001251300,572.8284028,16.989825,23.041895
202001251400,580.9501389,17.056365,23.271325
202001251500,442.8757639,17.38119,23.38699
202001251600,329.4691389,17.64535,23.08804
202001251700,158.3488194,17.726465,22.679215
202001251800,37.25295556,18.01748,21.979215
202001251900,0,17.60165,21.54409
202001252000,0,17.16433,21.06527
202001252100,0,16.509665,20.49624
202001252200,0,16.09274,20.212
202001252300,0,15.44143,19.740685
202001260000,0,14.77206,19.187405
202001260100,0,14.232875,18.60562
202001260200,0,13.842675,17.966395
202001260300,0,13.420125,17.350425
202001260400,0,12.24612,16.623685
202001260500,0,9.808005,15.28988
202001260600,0,9.745685,14.920925
202001260700,11.4375,9.589865,14.63778
202001260800,92.47763472,9.390955,14.8132
202001260900,280.9961028,9.257715,16.032135
202001261000,465.45125,9.029685,17.70474
202001261100,614.380625,8.810515,19.05038
202001261200,717.6004167,9.06766,20.365015
202001261300,746.840625,9.609765,21.184115
202001261400,706.1526389,10.038175,21.654685
202001261500,590.0599306,10.43819,21.89736
202001261600,418.43125,11.010585,21.87033
202001261700,217.7264028,11.36294,21.34304
202001261800,50.06476667,12.22335,20.584255
202001261900,0,12.6766,19.764615
202001262000,0,13.45235,19.34689
202001262100,0,13.9908,19.63314
202001262200,0,14.255395,19.768455
202001262300,0,14.372335,19.596885
202001270000,0,14.487815,18.927695
202001270100,0,14.45749,18.360375
202001270200,0,14.695335,18.233175
202001270300,0,14.90139,18.1442
202001270400,0,14.488975,17.858915
202001270500,0,13.592065,17.97634
202001270600,0,13.87191,18.02701
202001270700,9.001089444,14.356285,18.348655
202001270800,62.13404583,14.67117,18.950035
202001270900,152.9226528,14.915245,19.62087
202001271000,200.5933278,15.33047,20.446735
202001271100,250.6805083,15.8616,21.209745
202001271200,330.085625,16.10024,21.72805
202001271300,354.4124722,16.245995,22.07516
202001271400,228.2928417,16.564775,22.1907
202001271500,256.829375,16.53524,22.18203
202001271600,212.2111875,16.080585,22.176845
202001271700,104.5751083,15.40591,21.928555
202001271800,21.03602917,16.079185,21.55794
202001271900,0,16.550925,21.213775
202001272000,0,16.852135,21.26443
202001272100,0,16.93789,21.136375
202001272200,0,16.700335,20.71402
202001272300,0,16.69595,20.520225
202001280000,0,16.82247,20.597255
