"time","tp"
200201260800,0.051383038
200201260900,0.243121292
200201261000,0.247720862
200201261100,0.199373579
200201261200,0.283849775
200201261300,0.223787618
200201261400,0.057878759
200201261500,0.122367288
200201261600,0.286128023
200201261700,0.031366217
200201261800,0.000848778
200201261900,0.003118433
200201262000,0.059052407
200201262100,0.176931848
200201262200,0.166793703
200201262300,0.188207487
200201270000,0.251746969
200201270100,0.147532206
200201270200,0.168226776
200201270300,0.113028109
200201270400,0.127600622
200201270500,0.074166164
200201270600,0.130261178
200201270700,0.220276299
200201270800,0.113055023
200201270900,0.059518083
200201271000,0.048780552
200201271100,0.025329631
200201271200,0.02637873
200201271300,0.030613061
200201271400,0.035944067
200201271500,0.02505257
200201271600,0.034713681
200201271700,0.026445909
200201271800,0.017700084
200201271900,0.055761346
200201272000,0.002918037
200201272100,0.03170775
200201272200,0.173692708
200201272300,0.244299648
200201280000,0.071649309
200201280100,0.009364725
200201280200,0.116433337
200201280300,0.174379209
200201280400,0.080985126
200201280500,0.128201908
200201280600,0.242803013
200201280700,0.207449892
200201280800,0.189570594
200201280900,0.27913996
200201281000,0.224074349
200201281100,0.116862422
200201281200,0.143450219
200201281300,0.191215426
200201281400,0.046825233
200201281500,0.064007916
200201281600,0.031786003
200201281700,0.035180943
200201281800,0.023879868
200201281900,0.009927709
200201282000,0.000514948
200201282100,0.011014752
200201282200,0.078125449
200201282300,0.252071768
200201290000,0.135269947
200201290100,0.296604238
200201290200,0.445469515
200201290300,0.343331136
200201290400,0.322415959
200201290500,0.51282614
200201290600,0.373151037
200201290700,0.201347168
200201290800,0.276869978
200201290900,0.29556849
200201291000,0.148999039
200201291100,0.107686668
200201291200,0.078429948
200201291300,0.058612466
200201291400,0.048083726
200201291500,0.01535414
200201291600,0.129297841
200201291700,0.175993424
200201291800,0.376127893
200201291900,0.001621248
200201292000,0
200201292100,0.000743882
200201292200,0.00285152
200201292300,0.003566759
200201300000,0.015573758
200201300100,0.016947153
200201300200,0.022077402
200201300300,0.027780574
200201300400,0.207136967
200201300500,0.149230007
200201300600,0.055742785
200201300700,0.040483683
200201300800,0.014524318
200201300900,0.016012222
200201301000,0.027818969
200201301100,0.056598095
200201301200,0.129881199
200201301300,0.407484476
200201301400,0.317218713
200201301500,0.085678272
200201301600,0.053919015
200201301700,0.059300954
200201301800,0.066802211
200201301900,0.005616756
200201302000,0.009117059
200201302100,0.032873286
200201302200,0.000209805
200201302300,0.089721274
200201310000,0.044060602
200201310100,0.001411453
200201310200,0.048255126
200201310300,0.115601812
200201310400,0.0713154
200201310500,0.092868759
200201310600,0.068203975
200201310700,0.003394933
200201310800,0.001287473
200201310900,0.010585602
200201311000,0.039396415
200201311100,0.063800886
200201311200,0.068454625
200201311300,0.097847347
200201311400,0.047016329
200201311500,0.009975345
200201311600,0.012263976
200201311700,0.009241223
200201311800,0.137730618
200201311900,0.047817673
200201312000,0.053385469
200201312100,0.120928235
200201312200,0.007257558
200201312300,0.211320352
200202010000,0.050848161
200202010100,0.238954322
200202010200,0.159254065
200202010300,0.375533942
200202010400,0.105609863
200202010500,0.023937413
200202010600,0.06020478
200202010700,0.035161698
200202010800,0.046938745
200202010900,0.03370217
200202011000,0.162182725
200202011100,0.24749618
200202011200,0.410323031
200202011300,0.202826923
200202011400,0.067024637
200202011500,0.111726273
200202011600,0.031136624
200202011700,0.910916948
200202011800,0.493839965
200202011900,0.529157813
200202012000,0.303205918
200202012100,0.082736777
200202012200,0.003805224
200202012300,0.024337998
200202020000,0.039376231
200202020100,0.249087461
200202020200,0.276175095
200202020300,0.222048257
200202020400,0.105675019
200202020500,0.009985037
200202020600,0.001230187
200202020700,0.001945427
200202020800,0.009126466
200202020900,0.022153792
200202021000,0.065670647
200202021100,0.045147011
200202021200,0.029906638
200202021300,0.059547499
200202021400,0.027885842
200202021500,0.006752139
200202021600,0.019370142
200202021700,0.031662625
200202021800,0.387920067
200202021900,0.016222155
200202022000,0
200202022100,0.090181413
200202022200,0.067337583
200202022300,0.006875794
200202030000,0.004930469
200202030100,0.527429627
200202030200,1.009616069
200202030300,0.740264542
200202030400,0.557999359
200202030500,0.23313344
200202030600,0.146919396
200202030700,0.151944347
200202030800,0.079363628
200202030900,0.032414748
200202031000,0.145301921
200202031100,0.277828076
200202031200,0.244164257
200202031300,0.275638537
200202031400,0.3575749
200202031500,0.122605357
200202031600,0.030117262
200202031700,0.048837748
200202031800,0.120230245
200202031900,0.050468385
200202032000,0.1216155
200202032100,0.038232254
200202032200,0.023382527
200202032300,0.141140074
200202040000,0.233902247
200202040100,0.545573421
200202040200,0.753277098
200202040300,0.453651533
200202040400,0.251297606
200202040500,0.113482798
200202040600,0.038822582
200202040700,0.029219664
200202040800,0.018786668
200202040900,0.025634559
200202041000,0.013618024
200202041100,0.015144127
200202041200,0.001640287
200202041300,0.002031399
200202041400,0.013075005
200202041500,0.001440172
200202041600,0.080989899
200202041700,0.085333733
200202041800,0.01341827
200202041900,0.00038147
200202042000,0
200202042100,0.0000858
200202042200,0.007380918
200202042300,0.00702847
200202050000,0.00029563
200202050100,0.058494727
200202050200,0.024748209
200202050300,0.086582928
200202050400,0.069294183
200202050500,0.096031174
200202050600,0.176547444
200202050700,0.396637362
200202050800,0.525573269
200202050900,0.188605743
200202051000,0.063533844
200202051100,0.056800796
200202051200,0.038051599
200202051300,0.081081627
200202051400,0.025472895
200202051500,0.017910199
200202051600,0.067232868
200202051700,0.042285625
200202051800,0.079565718
200202051900,0.068617745
200202052000,0.488220714
200202052100,0.269890414
200202052200,0.125229592
200202052300,0.611290568
200202060000,1.006976468
200202060100,0.881219748
200202060200,0.081775557
200202060300,0.232605147
200202060400,0.155283837
200202060500,0.236015418
200202060600,0.351249706
200202060700,0.359077007
200202060800,0.337922946
200202060900,0.218532165
200202061000,0.409572036
200202061100,0.7586336
200202061200,0.649636029
200202061300,0.247707474
200202061400,0.25139458
200202061500,0.167150632
200202061600,0.177649665
200202061700,0.023212611
200202061800,0.495220884
200202061900,0.243256451
200202062000,0.001831063
200202062100,0.074444593
200202062200,0.080014404
200202062300,0.020179745
200202070000,0.010623502
200202070100,0.085211388
200202070200,0.244257273
200202070300,0.102705402
200202070400,0.178290065
200202070500,0.317876576
200202070600,0.387092237
200202070700,0.39557938
200202070800,0.272576115
200202070900,0.055063938
200202071000,0.03043162
200202071100,0.068569134
200202071200,0.018892395
200202071300,0.022859713
200202071400,0.014057034
200202071500,0.015468373
200202071600,0.002336365
200202071700,0.000877363
200202071800,0.001029895
200202071900,0
200202072000,0
200202072100,0
200202072200,0.002241284
200202072300,0.007677379
200202080000,0.011873541
200202080100,0.037814061
200202080200,0.253258622
200202080300,0.309580006
200202080400,4.791140556
200202080500,5.811415613
200202080600,4.772847518
200202080700,2.570731565
200202080800,1.306576305
200202080900,0.782248564
200202081000,0.323436223
200202081100,0.388109009
200202081200,0.352119445
200202081300,0.271104625
200202081400,0.396873918
200202081500,1.006522216
200202081600,0.649485854
200202081700,2.209912986
200202081800,1.897390699
200202081900,0.604095054
200202082000,0.580392429
200202082100,0.615692581
200202082200,0.96357998
200202082300,0.938897138
200202090000,0.868032919
200202090100,0.615714234
200202090200,0.37199026
200202090300,0.26761042
200202090400,0.302055501
200202090500,0.154971145
200202090600,0.119723125
200202090700,0.075224605
200202090800,0.051631032
200202090900,0.159483519
200202091000,0.084438514
200202091100,0.02337469
200202091200,0.24759362
200202091300,0.135076232
200202091400,0.161801232
200202091500,0.055008211
200202091600,0.080383223
200202091700,0.016802936
200202091800,0
200202091900,0
200202092000,0
200202092100,0
200202092200,0.0000858
200202092300,0.0000858
200202100000,0.000257474
200202100100,0.011576885
200202100200,0.012550023
200202100300,0.014105004
200202100400,0.000371941
200202100500,0.000371941
200202100600,0.000371941
200202100700,0.000829707
200202100800,0.014391233
200202100900,0.029020615
200202101000,0.051202558
200202101100,0.088844259
200202101200,0.053854179
200202101300,0.03644028
200202101400,0.044174762
200202101500,0.037880141
200202101600,0.013389705
200202101700,0.008974297
200202101800,0.030441828
200202101900,0.558016123
200202102000,0.093050185
200202102100,0.02089495
200202102200,0.007972631
200202102300,0.020761545
200202110000,0.229678
200202110100,0.634188065
200202110200,1.393610961
200202110300,1.128425007
200202110400,1.163405599
200202110500,0.91081264
200202110600,0.887355534
200202110700,0.832350692
200202110800,0.712893321
200202110900,0.830535777
200202111000,1.08123105
200202111100,1.885440783
200202111200,2.83825025
200202111300,3.893826157
200202111400,2.843694761
200202111500,2.366645262
200202111600,1.774086617
200202111700,1.388195087
200202111800,0.921020168
200202111900,0.578493695
200202112000,0.439872732
200202112100,0.351533992
200202112200,0.280723674
200202112300,0.324173248
200202120000,0.435789581
200202120100,0.413395697
200202120200,0.48378692
200202120300,0.455528148
200202120400,0.417232281
200202120500,0.308198621
200202120600,0.239390531
200202120700,0.252247555
200202120800,0.226097181
200202120900,0.414096517
200202121000,0.114156413
200202121100,0.147325918
200202121200,0.065880376
200202121300,0.063992084
200202121400,0.025787194
200202121500,0.030527277
200202121600,0.018672712
200202121700,0.005559863
200202121800,0.054616503
200202121900,0.004215074
200202122000,0.00180242
200202122100,0.02780935
200202122200,0.124103157
200202122300,0.112189926
200202130000,0.037136466
200202130100,0.041619118
200202130200,0.016384198
200202130300,0.058212958
200202130400,0.008277741
200202130500,0.012826858
200202130600,0.05572418
200202130700,0.134927919
200202130800,0.305999769
200202130900,0.232917489
200202131000,0.352481846
200202131100,0.307412702
200202131200,0.23219327
200202131300,0.116120224
200202131400,0.067807086
200202131500,0.014381316
200202131600,0.191673869
200202131700,0.42937824
200202131800,0.153530389
200202131900,0.011558172
200202132000,0.095089999
200202132100,0.128497602
200202132200,0.064016596
200202132300,0.05817043
200202140000,0.099594006
200202140100,0.14883047
200202140200,0.5598024
200202140300,0.37966494
200202140400,0.683884718
200202140500,0.440262957
200202140600,0.175425084
200202140700,0.325807952
200202140800,0.213525724
200202140900,0.163010322
200202141000,0.197390211
200202141100,0.123805134
200202141200,0.042666667
200202141300,0.4493132
200202141400,0.042800442
200202141500,0.014934551
200202141600,0.019407918
200202141700,0.615501427
200202141800,2.236764878
200202141900,0.345523586
200202142000,0.044678258
200202142100,0.013093872
200202142200,0.007429127
200202142300,0.004253413
200202150000,0.002670305
200202150100,0.001096742
200202150200,0.053597672
200202150300,0.085325533
200202150400,0.436028349
200202150500,0.82340755
200202150600,1.017253031
200202150700,0.775315566
200202150800,0.563666224
200202150900,0.517402659
200202151000,0.292005949
200202151100,0.300408807
200202151200,0.411816756
200202151300,0.232325867
200202151400,0.294820755
200202151500,0.22959651
200202151600,0.038538841
200202151700,0.12185263
200202151800,0.126304687
200202151900,0.027484093
200202152000,0.012216384
200202152100,0.004434328
200202152200,0.023239503
200202152300,0.043965243
200202160000,0.05430173
200202160100,0.248280703
200202160200,0.421774806
200202160300,0.497787842
200202160400,0.194452005
200202160500,0.20684686
200202160600,0.131447217
200202160700,0.023823181
200202160800,0.035620367
200202160900,0.02614026
200202161000,0.063037871
200202161100,0.063228734
200202161200,0.072164439
200202161300,0.070171336
200202161400,0.168647966
200202161500,0.074077769
200202161600,0.036553989
200202161700,0.005340594
200202161800,1.476061181
200202161900,1.235669712
200202162000,0.562638277
200202162100,0.174446264
200202162200,0.189744751
200202162300,0.18881599
200202170000,0.359500409
200202170100,0.855676015
200202170200,1.892043743
200202170300,1.11688918
200202170400,1.888291328
200202170500,0.76293794
200202170600,0.218077214
200202170700,0.076751516
200202170800,0.043926222
200202170900,0.068368448
200202171000,0.11654893
200202171100,0.156047638
200202171200,0.097152515
200202171300,0.069790643
200202171400,0.11007423
200202171500,0.193197397
200202171600,0.290981843
200202171700,0.32299757
200202171800,0.286953524
200202171900,0.329829287
200202172000,0.246264157
200202172100,0.324841123
200202172200,0.681461184
200202172300,0.413946109
200202180000,0.213902444
200202180100,0.242227456
200202180200,0.68445236
200202180300,0.903617358
200202180400,1.316911308
200202180500,0.794548308
200202180600,0.403321465
200202180700,0.719655538
200202180800,0.53565728
200202180900,0.486396486
200202181000,0.514232554
200202181100,1.082801144
200202181200,1.169841737
200202181300,0.638112309
200202181400,0.145747676
200202181500,0.083255982
